"DateTime","RPM2_5(NJH CS Collo (CS1)/Canary-S)","RPM2_52(NJH CS Collo (CS1)/Canary-S)","RPM2_5(I-25 Glo Collo (CS2)/Canary-S)","RPM2_52(I-25 Glo Collo (CS2)/Canary-S)","RPM2_5(I-25 Glo Collo (CS3)/Canary-S)","RPM2_52(I-25 Glo Collo (CS3)/Canary-S)","RPM2_5(I-25 Glo Collo (CS4)/Canary-S)","RPM2_52(I-25 Glo Collo (CS4)/Canary-S)","RPM2_5(La Casa Collo (CS5)/Canary-S)","RPM2_52(La Casa Collo (CS5)/Canary-S)"
"2018-08-01 01:00:00",,,7.4978,7.5833,,,7.0508,6.75,8.2365,7.6898
"2018-08-01 02:00:00",,,12.1712,12.3,,,11.5102,11.0167,11.311,10.3523
"2018-08-01 03:00:00",,,13.1902,13.5167,,,12.8327,12.3167,12.9923,11.9358
"2018-08-01 04:00:00",,,13.4055,13.9833,,,13.0855,13.1333,13.6771,12.7071
"2018-08-01 05:00:00",,,11.314,12.1833,,,10.991,10.8333,11.1825,10.4462
"2018-08-01 06:00:00",,,11.465,11.9333,,,10.9488,10.75,10.457,9.7118
"2018-08-01 07:00:00",,,14.4915,14.9667,,,13.349,13.2333,11.9768,10.849
"2018-08-01 08:00:00",,,16.6575,17.5,,,15.4841,15.6271,13.799,12.335
"2018-08-01 09:00:00",,,18.6715,19.35,,,17.296,17.3333,12.005,10.7825
"2018-08-01 10:00:00",,,18.5966,19.7797,18.592,17.5972,16.913,17.55,14.4395,13.4269
"2018-08-01 11:00:00",,,15.2143,16.2333,15.0963,14.9558,14.1922,14.0167,11.5115,10.7625
"2018-08-01 12:00:00",,,11.9368,12.6667,,,11.387,10.8167,9.52,9.1183
"2018-08-01 13:00:00",,,15.4695,16.8167,,,14.5685,14.1333,9.3593,8.7467
"2018-08-01 14:00:00",,,12.986,13.85,,,12.0567,11.6333,9.4328,8.968
"2018-08-01 15:00:00",,,13.9955,14.6333,,,13.0288,12.3167,10.802,10.3213
"2018-08-01 16:00:00",,,15.4902,16.5333,,,14.562,14.4667,11.8563,11.0617
"2018-08-01 17:00:00",,,17.1373,17.85,,,15.8935,16.1,11.7405,10.7773
"2018-08-01 18:00:00",,,18.475,19.3793,,,17.4233,17.4,12.0292,11.2554
"2018-08-01 19:00:00",,,16.1688,16.9,,,14.7167,14.85,11.9713,11.304
"2018-08-01 20:00:00",,,19.2629,19.9153,,,18.4558,18.3167,15.3818,14.3578
"2018-08-01 21:00:00",,,37.2975,37.55,,,36.9535,36.3167,33.2379,31.5497
"2018-08-01 22:00:00",,,46.37,47.1333,,,45.9805,45.5167,47.3875,45.2122
